epoch0, file 1 / 1552
[7] path_loss: 0.376, valid_len_loss: 65.176, std_loss: 0.276, lr: 0.000699999975040555.
[15] path_loss: 0.588, valid_len_loss: 69.777, std_loss: 0.292, lr: 0.001500000013038516.
[23] path_loss: 0.381, valid_len_loss: 73.826, std_loss: 0.299, lr: 0.002300000051036477.
[31] path_loss: 0.216, valid_len_loss: 71.618, std_loss: 0.2, lr: 0.003100000089034438.
[39] path_loss: 0.494, valid_len_loss: 67.545, std_loss: 0.19, lr: 0.0038999998942017555.
[47] path_loss: 0.965, valid_len_loss: 70.502, std_loss: 0.313, lr: 0.004699999932199717.
[55] path_loss: 0.944, valid_len_loss: 70.11, std_loss: 0.438, lr: 0.005499999970197678.
[63] path_loss: 0.441, valid_len_loss: 72.361, std_loss: 0.243, lr: 0.006300000008195639.
[71] path_loss: 0.315, valid_len_loss: 49.796, std_loss: 0.327, lr: 0.0071000000461936.
[79] path_loss: 0.48, valid_len_loss: 54.44, std_loss: 0.246, lr: 0.007899999618530273.
[87] path_loss: 0.188, valid_len_loss: 52.088, std_loss: 0.13, lr: 0.008700000122189522.
[95] path_loss: 0.95, valid_len_loss: 59.498, std_loss: 0.229, lr: 0.009499999694526196.
[103] path_loss: 0.193, valid_len_loss: 70.557, std_loss: 0.376, lr: 0.009999961592257023.
[111] path_loss: 0.076, valid_len_loss: 53.9, std_loss: 0.302, lr: 0.009999481961131096.
epoch0, file 17 / 1552
[119] path_loss: 0.439, valid_len_loss: 103.745, std_loss: 0.433, lr: 0.00999845378100872.
[127] path_loss: 1.049, valid_len_loss: 99.923, std_loss: 0.161, lr: 0.009996877983212471.
[135] path_loss: 0.519, valid_len_loss: 92.466, std_loss: 0.19, lr: 0.009994753636419773.
[143] path_loss: 0.383, valid_len_loss: 83.481, std_loss: 0.147, lr: 0.009992081671953201.
[151] path_loss: 0.549, valid_len_loss: 87.073, std_loss: 0.147, lr: 0.009988862089812756.
[159] path_loss: 0.264, valid_len_loss: 95.761, std_loss: 0.089, lr: 0.00998509582132101.
[167] path_loss: 0.397, valid_len_loss: 71.963, std_loss: 0.153, lr: 0.009980782866477966.
[175] path_loss: 0.203, valid_len_loss: 80.337, std_loss: 0.037, lr: 0.009975923225283623.
[183] path_loss: 0.264, valid_len_loss: 65.96, std_loss: 0.115, lr: 0.009970518760383129.
[191] path_loss: 0.185, valid_len_loss: 61.951, std_loss: 0.072, lr: 0.00996456854045391.
[199] path_loss: 0.113, valid_len_loss: 78.756, std_loss: 0.083, lr: 0.009958074428141117.
[207] path_loss: 0.253, valid_len_loss: 60.679, std_loss: 0.065, lr: 0.009951036423444748.
[215] path_loss: 0.369, valid_len_loss: 86.645, std_loss: 0.085, lr: 0.009943455457687378.
[223] path_loss: 0.553, valid_len_loss: 85.83, std_loss: 0.154, lr: 0.009935332462191582.
epoch0, file 33 / 1552
[231] path_loss: 0.246, valid_len_loss: 64.763, std_loss: 0.157, lr: 0.00992666743695736.
[239] path_loss: 0.051, valid_len_loss: 63.081, std_loss: 0.169, lr: 0.009917463175952435.
[247] path_loss: 0.029, valid_len_loss: 62.826, std_loss: 0.198, lr: 0.009907718747854233.
[255] path_loss: 0.087, valid_len_loss: 62.681, std_loss: 0.152, lr: 0.009897436946630478.
[263] path_loss: 0.418, valid_len_loss: 73.238, std_loss: 0.095, lr: 0.00988661777228117.
[271] path_loss: 0.157, valid_len_loss: 75.158, std_loss: 0.071, lr: 0.009875263087451458.
[279] path_loss: 0.511, valid_len_loss: 55.102, std_loss: 0.086, lr: 0.009863372892141342.
